Model,Train R2,Val R2,Test R2,Test MAE (kWh),Test RMSE (kWh),Test MAPE (%),Acceptance Met
Linear Regression,0.9987600234995498,0.9987722246523079,0.9987270128742709,3.625324570426707,4.838433802695951,4.9539867998892,Yes
Ridge Regression,0.9987592410695864,0.9987693524262646,0.9987256623205979,3.6287901129252553,4.8409997486302565,4.955362755042999,Yes
Lasso Regression,0.998685541119173,0.9986851256557767,0.9986591031439761,3.7458714528777817,4.965814406698168,5.035029693097077,Yes
Random Forest,0.9997283858015166,0.9985027054921463,0.9984850520654005,4.006635260982944,5.278270602521291,5.1783738857691715,Yes
Gradient Boosting,0.9994665850557177,0.9990304291494201,0.998996814118118,3.3407018867485445,4.295201114649093,4.641293264284943,Yes
XGBoost,0.9994086846096472,0.9985589960312736,0.9989555743702325,3.375723548677233,4.382597212944522,4.623826081679465,Yes
LightGBM,0.9993209980281166,0.9988311749336991,0.9990075997567938,3.3284343577810866,4.272049034614108,4.636906148959256,Yes
