Model,Train R2,Val R2,Test R2,Test MAE (kWh),Test RMSE (kWh),Test MAPE (%),Acceptance Met
Linear Regression,0.9990798753687431,0.99910505179971,0.9990427214371711,3.0702699785728074,4.195772813401683,3.84700629552175,Yes
Ridge Regression,0.9990790087645544,0.9991038095557014,0.9990402998318338,3.0656982586066572,4.201076435904385,3.8151527851468594,Yes
Lasso Regression,0.9989531210733555,0.9989952354825918,0.9989058197251649,3.111683516483014,4.485772441823617,3.506573264535975,Yes
Random Forest,0.9998232973309615,0.9989300728234475,0.9988381483309725,3.0539250072656947,4.622406561368283,2.852720000976801,Yes
Gradient Boosting,0.9996437354643577,0.9991982824196044,0.9990896812513483,2.747507344617295,4.091565816460081,2.6817070149903626,Yes
XGBoost,0.9995831446269656,0.99893656923731,0.9990801413511164,2.7567721271514896,4.1129492043567035,2.672492434577039,Yes
LightGBM,0.9995244044943978,0.9991003243631214,0.9990540799696124,2.786112534872216,4.170806184708092,2.7055301168414445,Yes
